web_scraper_order,web_scraper_start_url,data,price,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,data27,data28,data29,data30,data31,data32,image,image2,image3,image4
"1784223996-1","https://www.scan.co.uk/shop/computer-hardware/streaming/all","Elgato Stream Deck Module, Customisable Content Creation Controller, 6 LCD Keys, Multi-Software Support, USB-C","£49.99","LN160369","","Elgato Stream Deck Module 6 (Membrane Keys, USB)","Pre Order","Elgato Stream Deck Module","6 LCD Keys","Multi-Software Support","Compare","Quick view","Free delivery on your entire basket","Free delivery","Pre order","48hr","","","Replacement","Customisable Content Creation Controller","99","USB-C","Key Specifications","48hr","","","","","","","Replacement","","No customer review","£","https://www.scan.co.uk/images/products/to/3712337.jpg","https://www.scan.co.uk/images/products/xlarge/3712337-xl-a.jpg","https://www.scan.co.uk/images/products/xlarge/3712337-xl-b.jpg","https://www.scan.co.uk/images/manufacturers/Elgato.gif"
"1784223996-2","https://www.scan.co.uk/shop/computer-hardware/streaming/all","Elgato Stream Deck Mini, Fully Customisable Content Creation Controller, 6 LCD Keys, Twitch/OBS/XSplit/Youtube Integrat.","£59.99","LN91323","(4)","Elgato Stream Deck Mini Customizable LCD Content Creation Controller","Add To Basket","Elgato Stream Deck Mini","6 LCD Keys","Twitch/OBS/XSplit/Youtube Integrat.","Compare","Quick view","Free delivery on your entire basket","Free delivery","In stock","","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","","Fully Customisable Content Creation Controller","99","","Key Specifications","","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","","","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","","Customer Review","","£","https://www.scan.co.uk/images/products/to/2965846.jpg","https://www.scan.co.uk/images/products/xlarge/2965846-xl-a.jpg","https://www.scan.co.uk/images/products/xlarge/2965846-xl-b.jpg","https://www.scan.co.uk/images/manufacturers/Elgato.gif"
"1784223996-3","https://www.scan.co.uk/shop/computer-hardware/streaming/all","Elgato Stream Deck Neo - Black, Fully Customisable Content Creation Controller, 8 LCD Keys, Windows/Mac","£99.98","LN160242","","Elgato Stream Deck Neo Black 8 Key Customisable LCD Content Creation Controller","Add To Basket","Elgato Stream Deck Neo - Black","8 LCD Keys","Windows/Mac","Compare","Quick view","Free delivery on your entire basket","Free delivery","In stock","48hr","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","Replacement","Fully Customisable Content Creation Controller","98","","Key Specifications","48hr","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","PayPal Credit options available","PAYPAL","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","Replacement","","No customer review","£","https://www.scan.co.uk/images/products/to/3711428.jpg","https://www.scan.co.uk/images/products/xlarge/3711428-xl-a.jpg","https://www.scan.co.uk/images/products/xlarge/3711428-xl-b.jpg","https://www.scan.co.uk/images/manufacturers/Elgato.gif"
"1784223996-4","https://www.scan.co.uk/shop/computer-hardware/streaming/all","Elgato Stream Deck Neo, Fully Customisable Content Creation Controller, 8 LCD Keys, Windows/Mac","£99.98","LN146849","","Elgato Stream Deck Neo 8 Key Customisable LCD Content Creation Controller","Add To Basket","Elgato Stream Deck Neo","8 LCD Keys","Windows/Mac","Compare","Quick view","Free delivery on your entire basket","Free delivery","In stock","48hr","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","Replacement","Fully Customisable Content Creation Controller","98","","Key Specifications","48hr","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","PayPal Credit options available","PAYPAL","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","Replacement","","No customer review","£","https://www.scan.co.uk/images/products/to/3601941.jpg","https://www.scan.co.uk/images/products/xlarge/3601941-xl-a.jpg","https://www.scan.co.uk/images/products/xlarge/3601941-xl-b.jpg","https://www.scan.co.uk/images/manufacturers/Elgato.gif"
"1784223996-5","https://www.scan.co.uk/shop/computer-hardware/streaming/all","Elgato Stream Deck Module, Customisable Content Creation Controller, 15 LCD Keys, Multi-Software Support, USB-C","£119.99","LN160371","","Elgato Stream Deck Module 15 (Membrane Keys, USB)","Pre Order","Elgato Stream Deck Module","15 LCD Keys","Multi-Software Support","Compare","Quick view","Free delivery on your entire basket","Free delivery","Pre order","48hr","","","Replacement","Customisable Content Creation Controller","99","USB-C","Key Specifications","48hr","","","PayPal Credit options available","PAYPAL","","","Replacement","","No customer review","£","https://www.scan.co.uk/images/products/to/3712334.jpg","https://www.scan.co.uk/images/products/xlarge/3712334-xl-a.jpg","https://www.scan.co.uk/images/products/xlarge/3712334-xl-b.jpg","https://www.scan.co.uk/images/manufacturers/Elgato.gif"
"1784223996-6","https://www.scan.co.uk/shop/computer-hardware/streaming/all","Elgato Stream Deck, Fully Customisable Content Creation Controller, 15 LCD Keys MK2, Multi-Software Support","£139.99","LN118190","(3)","Elgato Stream Deck 15 Key MK2 Customisable LCD Content Creation Controller","Add To Basket","Elgato Stream Deck","15 LCD Keys MK2","Multi-Software Support","Compare","Quick view","Free delivery on your entire basket","Free delivery","In stock","48hr","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","Replacement","Fully Customisable Content Creation Controller","99","","Key Specifications","48hr","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","PayPal Credit options available","PAYPAL","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","Replacement","Customer Review","","£","https://www.scan.co.uk/images/products/to/3338837.jpg","https://www.scan.co.uk/images/products/xlarge/3338837-xl-a.jpg","https://www.scan.co.uk/images/products/xlarge/3338837-xl-b.jpg","https://www.scan.co.uk/images/manufacturers/Elgato.gif"
"1784223996-7","https://www.scan.co.uk/shop/computer-hardware/streaming/all","Elgato Stream Deck + Audio Mixer, Studio Controller, Production Console, Macro Keys, Touch Strip, Dials","£179.99","LN130770","(4)","Elgato Stream Deck + 8 Key Customisable LCD Content Creation Controller","Add To Basket","Elgato Stream Deck + Audio Mixer","Production Console","Macro Keys","Compare","Quick view","Free delivery on your entire basket","Free delivery","In stock","48hr","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","Replacement","Studio Controller","99","Touch Strip","Key Specifications","48hr","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","PayPal Credit options available","PAYPAL","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","Replacement","Customer Review","","£","https://www.scan.co.uk/images/products/to/3472137.jpg","https://www.scan.co.uk/images/products/xlarge/3472137-xl-a.jpg","https://www.scan.co.uk/images/products/xlarge/3472137-xl-b.jpg","https://www.scan.co.uk/images/manufacturers/Elgato.gif"
"1784223996-8","https://www.scan.co.uk/shop/computer-hardware/streaming/all","Elgato Stream Deck Module, Customisable Content Creation Controller, 32 LCD Keys, Multi-Software Support, USB-C","£179.99","LN160372","","Elgato Stream Deck Module 32(Membrane Keys, USB)","Pre Order","Elgato Stream Deck Module","32 LCD Keys","Multi-Software Support","Compare","Quick view","Free delivery on your entire basket","Free delivery","Pre order","48hr","","","Replacement","Customisable Content Creation Controller","99","USB-C","Key Specifications","48hr","","","PayPal Credit options available","PAYPAL","","","Replacement","","No customer review","£","https://www.scan.co.uk/images/products/to/3712340.jpg","https://www.scan.co.uk/images/products/xlarge/3712340-xl-a.jpg","https://www.scan.co.uk/images/products/xlarge/3712340-xl-b.jpg","https://www.scan.co.uk/images/manufacturers/Elgato.gif"
"1784223996-9","https://www.scan.co.uk/shop/computer-hardware/streaming/all","Elgato Stream Deck XL, Fully Customisable Content Creation Controller, 32 LCD Keys, Twitch/OBS/XSplit/Youtube","£229.99","LN98514","(14)","Elgato Stream Deck XL 32 Key Customizable LCD Content Creation Controller","Add To Basket","Elgato Stream Deck XL","32 LCD Keys","Twitch/OBS/XSplit/Youtube","Compare","Quick view","Free delivery on your entire basket","Free delivery","In stock","48hr","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","Replacement","Fully Customisable Content Creation Controller","99","","Key Specifications","48hr","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","PayPal Credit options available","PAYPAL","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","Replacement","Customer Review","","£","https://www.scan.co.uk/images/products/to/3058327.jpg","https://www.scan.co.uk/images/products/xlarge/3058327-xl-a.jpg","https://www.scan.co.uk/images/products/xlarge/3058327-xl-b.jpg","https://www.scan.co.uk/images/manufacturers/Elgato.gif"
"1784223996-10","https://www.scan.co.uk/shop/computer-hardware/streaming/all","Elgato Stream Deck + XL, Macro Keys, Multifunction Dials, Touch Strip, USB-C","£329.99","LN168871","","Elgato Stream Deck + XL","Add To Basket","Elgato Stream Deck + XL","Multifunction Dials","Touch Strip","Compare","Quick view","Free delivery on this item","Free delivery","In stock","48hr","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","Replacement","Macro Keys","99","USB-C","Key Specifications","48hr","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","PayPal Credit options available","PAYPAL","Get it Tomorrow, 17 Jul","Tomorrow, 17 Jul","Replacement","","No customer review","£","https://www.scan.co.uk/images/products/to/3786394.jpg","https://www.scan.co.uk/images/products/xlarge/3786394-xl-a.jpg","https://www.scan.co.uk/images/products/xlarge/3786394-xl-b.jpg","https://www.scan.co.uk/images/manufacturers/Elgato.gif"
